,DATE,TEAM-A,RESULT,TEAM-B
208,30-11-2024,FC Barcelona,1 - 2,Las Palmas
209,23-11-2024,Celta,2 - 2,FC Barcelona
210,10-11-2024,Sociedad,1 - 0,FC Barcelona
211,28-09-2024,Osasuna,4 - 2,FC Barcelona
212,25-09-2024,FC Barcelona,1 - 0,Getafe
213,27-08-2024,Vallecano,1 - 2,FC Barcelona
214,24-08-2024,FC Barcelona,2 - 1,Ath Bilbao
215,17-08-2024,Valencia,1 - 2,FC Barcelona
216,24-05-2025,Getafe,1 - 2,Celta
217,18-05-2025,Mallorca,1 - 2,Getafe
218,15-05-2025,Getafe,0 - 2,Ath Bilbao
219,10-05-2025,Valencia,3 - 0,Getafe
220,02-05-2025,Vallecano,1 - 0,Getafe
221,23-04-2025,Getafe,0 - 1,Real Madrid
222,18-04-2025,Espanol,1 - 0,Getafe
223,12-04-2025,Getafe,1 - 3,Las Palmas
224,30-03-2025,Getafe,1 - 2,Villarreal
225,16-03-2025,Osasuna,1 - 2,Getafe
226,09-03-2025,Getafe,2 - 1,Ath Madrid
227,02-03-2025,Leganes,1 - 0,Getafe
228,23-02-2025,Getafe,1 - 2,Betis
229,14-02-2025,Girona,1 - 2,Getafe
230,09-02-2025,Alaves,0 - 1,Getafe
231,01-02-2025,Getafe,0 - 0,Sevilla
232,18-01-2025,Getafe,1 - 1,FC Barcelona
233,12-01-2025,Las Palmas,1 - 2,Getafe
234,21-12-2024,Getafe,0 - 1,Mallorca
235,15-12-2024,Ath Madrid,1 - 0,Getafe
236,09-12-2024,Getafe,1 - 0,Espanol
237,01-12-2024,Real Madrid,2 - 0,Getafe
238,22-11-2024,Getafe,2 - 0,Valladolid
239,10-11-2024,Getafe,0 - 1,Girona
240,04-11-2024,Celta,1 - 0,Getafe
241,27-10-2024,Getafe,1 - 1,Valencia
242,20-10-2024,Villarreal,1 - 1,Getafe
243,05-10-2024,Getafe,1 - 1,Osasuna
244,28-09-2024,Getafe,2 - 0,Alaves
245,25-09-2024,FC Barcelona,1 - 0,Getafe
246,22-09-2024,Getafe,1 - 1,Leganes
247,18-09-2024,Betis,2 - 1,Getafe
248,14-09-2024,Sevilla,1 - 0,Getafe
249,01-09-2024,Getafe,0 - 0,Sociedad
250,24-08-2024,Getafe,0 - 0,Vallecano
251,15-08-2024,Ath Bilbao,1 - 1,Getafe
252,25-05-2025,Girona,0 - 4,Ath Madrid
253,18-05-2025,Sociedad,3 - 2,Girona
254,13-05-2025,Valladolid,0 - 1,Girona
255,10-05-2025,Girona,0 - 1,Villarreal
256,05-05-2025,Girona,1 - 0,Mallorca
257,24-04-2025,Leganes,1 - 1,Girona
258,21-04-2025,Girona,1 - 3,Betis
259,13-04-2025,Osasuna,2 - 1,Girona
260,05-04-2025,Girona,0 - 1,Alaves
261,30-03-2025,FC Barcelona,4 - 1,Girona
262,15-03-2025,Girona,1 - 1,Valencia
263,10-03-2025,Espanol,1 - 1,Girona
264,01-03-2025,Girona,2 - 2,Celta
265,23-02-2025,Real Madrid,2 - 0,Girona
266,14-02-2025,Girona,1 - 2,Getafe
267,08-02-2025,Ath Bilbao,3 - 0,Girona
268,03-02-2025,Girona,2 - 1,Las Palmas
269,26-01-2025,Vallecano,2 - 1,Girona
270,18-01-2025,Girona,1 - 2,Sevilla
271,11-01-2025,Alaves,0 - 1,Girona
272,14-12-2024,Mallorca,2 - 1,Girona
273,07-12-2024,Girona,0 - 3,Real Madrid
274,01-12-2024,Villarreal,2 - 2,Girona
275,10-11-2024,Getafe,0 - 1,Girona
276,26-10-2024,Las Palmas,1 - 0,Girona
277,19-10-2024,Girona,0 - 1,Sociedad
278,06-10-2024,Girona,2 - 1,Ath Bilbao
279,29-09-2024,Celta,1 - 1,Girona
280,25-09-2024,Girona,0 - 0,Vallecano
281,21-09-2024,Valencia,2 - 0,Girona
282,15-09-2024,Girona,1 - 4,FC Barcelona
283,01-09-2024,Sevilla,0 - 2,Girona
284,25-08-2024,Ath Madrid,3 - 0,Girona
285,15-08-2024,Betis,1 - 1,Girona
286,24-05-2025,Espanol,2 - 0,Las Palmas
287,18-05-2025,Las Palmas,0 - 1,Leganes
288,13-05-2025,Sevilla,1 - 0,Las Palmas
289,09-05-2025,Las Palmas,0 - 1,Vallecano
290,03-05-2025,Las Palmas,2 - 3,Valencia
291,23-04-2025,Ath Bilbao,1 - 0,Las Palmas
292,19-04-2025,Las Palmas,1 - 0,Ath Madrid
293,06-04-2025,Las Palmas,1 - 3,Sociedad
294,31-03-2025,Celta,1 - 1,Las Palmas
295,14-03-2025,Las Palmas,2 - 2,Alaves
296,09-03-2025,Betis,1 - 0,Las Palmas
297,28-02-2025,Valladolid,1 - 1,Las Palmas
298,22-02-2025,Las Palmas,0 - 2,FC Barcelona
299,16-02-2025,Mallorca,3 - 1,Las Palmas
300,08-02-2025,Las Palmas,1 - 2,Villarreal
301,03-02-2025,Girona,2 - 1,Las Palmas
302,24-01-2025,Las Palmas,1 - 1,Osasuna
303,19-01-2025,Real Madrid,4 - 1,Las Palmas
304,12-01-2025,Las Palmas,1 - 2,Getafe
305,22-12-2024,Las Palmas,1 - 0,Espanol
306,15-12-2024,Sociedad,0 - 0,Las Palmas
307,07-12-2024,Las Palmas,2 - 1,Valladolid
308,30-11-2024,FC Barcelona,1 - 2,Las Palmas
309,23-11-2024,Las Palmas,2 - 3,Mallorca
310,03-11-2024,Ath Madrid,2 - 0,Las Palmas
311,26-10-2024,Las Palmas,1 - 0,Girona
312,05-10-2024,Las Palmas,0 - 1,Celta
313,30-09-2024,Villarreal,3 - 1,Las Palmas
314,26-09-2024,Las Palmas,1 - 1,Betis
315,21-09-2024,Osasuna,2 - 1,Las Palmas
316,15-09-2024,Las Palmas,2 - 3,Ath Bilbao
317,01-09-2024,Alaves,2 - 0,Las Palmas
318,29-08-2024,Las Palmas,1 - 1,Real Madrid
319,25-08-2024,Leganes,2 - 1,Las Palmas
320,16-08-2024,Las Palmas,2 - 2,Sevilla
321,18-05-2025,Las Palmas,0 - 1,Leganes
322,14-05-2025,Villarreal,3 - 0,Leganes
323,04-05-2025,Sevilla,2 - 2,Leganes
324,24-04-2025,Leganes,1 - 1,Girona
325,19-04-2025,Mallorca,0 - 0,Leganes
326,12-04-2025,Leganes,0 - 1,FC Barcelona
327,07-04-2025,Leganes,1 - 1,Osasuna
328,29-03-2025,Real Madrid,3 - 2,Leganes
329,16-03-2025,Leganes,2 - 3,Betis
330,08-03-2025,Celta,2 - 1,Leganes
331,02-03-2025,Leganes,1 - 0,Getafe
332,23-02-2025,Sociedad,3 - 0,Leganes
333,09-02-2025,Valencia,2 - 0,Leganes
334,31-01-2025,Leganes,0 - 1,Vallecano
335,26-01-2025,Ath Bilbao,0 - 0,Leganes
336,18-01-2025,Leganes,1 - 0,Ath Madrid
337,11-01-2025,Espanol,1 - 1,Leganes
338,22-12-2024,Leganes,2 - 5,Villarreal
339,15-12-2024,FC Barcelona,0 - 1,Leganes
340,08-12-2024,Leganes,0 - 3,Sociedad
341,30-11-2024,Alaves,1 - 1,Leganes
342,24-11-2024,Leganes,0 - 3,Real Madrid
343,09-11-2024,Leganes,1 - 0,Sevilla
344,20-10-2024,Ath Madrid,3 - 1,Leganes
345,04-10-2024,Leganes,0 - 0,Valencia
346,28-09-2024,Vallecano,1 - 1,Leganes
347,22-09-2024,Getafe,1 - 1,Leganes
348,19-09-2024,Leganes,0 - 2,Ath Bilbao
349,13-09-2024,Betis,2 - 0,Leganes
350,31-08-2024,Leganes,0 - 1,Mallorca
351,28-08-2024,Valladolid,0 - 0,Leganes
352,25-08-2024,Leganes,2 - 1,Las Palmas
353,17-08-2024,Osasuna,1 - 1,Leganes
354,24-05-2025,Vallecano,0 - 0,Mallorca
355,18-05-2025,Mallorca,1 - 2,Getafe
356,14-05-2025,Real Madrid,2 - 1,Mallorca
357,10-05-2025,Mallorca,2 - 1,Valladolid
358,05-05-2025,Girona,1 - 0,Mallorca
359,22-04-2025,FC Barcelona,1 - 0,Mallorca
360,19-04-2025,Mallorca,0 - 0,Leganes
361,12-04-2025,Sociedad,0 - 2,Mallorca
362,05-04-2025,Mallorca,1 - 2,Celta
363,30-03-2025,Valencia,1 - 0,Mallorca
364,15-03-2025,Mallorca,2 - 1,Espanol
365,09-03-2025,Ath Bilbao,1 - 1,Mallorca
366,02-03-2025,Mallorca,1 - 1,Alaves
367,24-02-2025,Sevilla,1 - 1,Mallorca
368,10-02-2025,Mallorca,1 - 1,Osasuna
369,01-02-2025,Ath Madrid,2 - 0,Mallorca
370,25-01-2025,Mallorca,0 - 1,Betis
371,20-01-2025,Villarreal,4 - 0,Mallorca
372,21-12-2024,Getafe,0 - 1,Mallorca
373,14-12-2024,Mallorca,2 - 1,Girona
374,06-12-2024,Celta,2 - 0,Mallorca
375,03-12-2024,Mallorca,1 - 5,FC Barcelona
376,29-11-2024,Mallorca,2 - 1,Valencia
377,10-11-2024,Mallorca,0 - 1,Ath Madrid
378,01-11-2024,Alaves,1 - 0,Mallorca
379,28-10-2024,Mallorca,0 - 0,Ath Bilbao
380,20-10-2024,Mallorca,1 - 0,Vallecano
381,05-10-2024,Espanol,2 - 1,Mallorca
382,27-09-2024,Valladolid,1 - 2,Mallorca
383,23-09-2024,Betis,1 - 2,Mallorca
384,17-09-2024,Mallorca,1 - 0,Sociedad
385,14-09-2024,Mallorca,1 - 2,Villarreal
386,31-08-2024,Leganes,0 - 1,Mallorca
387,27-08-2024,Mallorca,0 - 0,Sevilla
388,24-08-2024,Osasuna,1 - 0,Mallorca
389,18-08-2024,Mallorca,1 - 1,Real Madrid
390,24-05-2025,Alaves,1 - 1,Osasuna
391,18-05-2025,Osasuna,2 - 0,Espanol
392,15-05-2025,Osasuna,2 - 0,Ath Madrid
393,11-05-2025,Betis,1 - 1,Osasuna
394,03-05-2025,Villarreal,4 - 2,Osasuna
395,24-04-2025,Osasuna,1 - 0,Sevilla
396,13-04-2025,Osasuna,2 - 1,Girona
397,07-04-2025,Leganes,1 - 1,Osasuna
398,30-03-2025,Ath Bilbao,0 - 0,Osasuna
399,27-03-2025,FC Barcelona,3 - 0,Osasuna
400,16-03-2025,Osasuna,1 - 2,Getafe
401,21-02-2025,Celta,1 - 0,Osasuna
402,15-02-2025,Osasuna,1 - 1,Real Madrid
403,10-02-2025,Mallorca,1 - 1,Osasuna
